reviewer_id,store_name,category,store_address,latitude ,longitude,rating_count,review_time,review,rating,rating_num,true_sentiment,predicted_sentiment,emotion,cleaned_review,normalized_review
28478,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,567",2 years ago,Somehow they forgot to give us our order...no big deal I needed the exercise and they did apologize,2 stars,2,Negative,Negative,sadness,somehow they forgot to give us our orderno big deal i needed the exercise and they did apologize,somehow they forgot to give us our orderno big deal i need the exercis and they did apolog
20808,McDonald's,Fast food restaurant,"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",32.9580411,-97.3076518,957,2 years ago,Neutral,3 stars,3,Neutral,Negative,disgust,neutral,neutral
23802,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,617",a year ago,Drive thru a little slow but friendly people and food on par,5 stars,5,Positive,Positive,neutral,drive thru a little slow but friendly people and food on par,drive thru a littl slow but friendli peopl and food on par
4535,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",4 years ago,Normal McDonald's not much else to say,3 stars,3,Neutral,Negative,neutral,normal mcdonalds not much else to say,normal mcdonald not much els to say
27251,McDonald's,Fast food restaurant,"10901 Riverside Dr, North Hollywood, CA 91602, United States",34.1525074,-118.3679036,"1,794",4 years ago,Good service,5 stars,5,Positive,Positive,neutral,good service,good servic
867,McDonald's,Fast food restaurant,"1698 US-209, Brodheadsville, PA 18322, United States",40.9220806,-75.3999187,"1,028",3 years ago,I went through the drive-through and ordered a double Mac meal. I received a single Mac meal And the food was cold. I drove away and call back and told  Them  my meal was wrong. The manager tells me on my next visit I will receive a complimentary order. NO how about giving me the right order or given me my money back. I gave this McDonald's the benefit of Benefit of the doubt is not my 1st Bad Experience in this McDonald's. But it will be my last as I will never visit this McDonald's again.,1 star,1,Negative,Negative,sadness,i went through the drivethrough and ordered a double mac meal i received a single mac meal and the food was cold i drove away and call back and told them my meal was wrong the manager tells me on my next visit i will receive a complimentary order no how about giving me the right order or given me my money back i gave this mcdonalds the benefit of benefit of the doubt is not my st bad experience in this mcdonalds but it will be my last as i will never visit this mcdonalds again,i went through the drivethrough and order a doubl mac meal i receiv a singl mac meal and the food wa cold i drove away and call back and told them my meal wa wrong the manag tell me on my next visit i will receiv a complimentari order no how about give me the right order or given me my money back i gave thi mcdonald the benefit of benefit of the doubt is not my st bad experi in thi mcdonald but it will be my last as i will never visit thi mcdonald again
30349,McDonald's,Fast food restaurant,"9814 International Dr, Orlando, FL 32819, United States",28.4238144,-81.4612421,"5,468",5 years ago,"Stopped in here on January 24th 2018 and ordered at the counter, a signature classic grilled signature sriacha chicken sandwich with an artisan bun. Paid for my order and waited. When my order was ready it was handed to me in a bag.I asked for ketchup and proceeded to a table to enjoy my meal. First off tge fries were crispy which I prefer, but they were old and not at all indicative of the worlds best fries. I took out my sandwich took bite and noticed sesame seeds in the box. I Checked my receipt to confirm that my sandwich should gave had the artisan bun, proceeded to the counter  to correct the problem with my order to be told tgey were out of artisan buns. I was pissed and walked off. I finished my meal, went to refill my drink and spoke with a man in yellow shirt and tie behind the counter about how terrible that the one woman knew there were no artisan buns but the order taker at the register knew nothing about it as well as the girl who gave me my food. Someone should have confirmed that the sesame seed bun would meet my approval. And I notified him this kind of service was not indicative pf McDonald's and that I would be callong corporate. The following day I contacted McDonald's corporate who passed on my complaint to the restaurant location. I received a call from Rose who apologized for the problem with the order and asked that I come back and give them the opportunity to make tge meal properly per my request. I stopped in on Friday January 26th and Emma made sure that the meal was prepared to the standards I believe McDonald's is known. The sandwich was flavorful with the artisan roll and the fries were hot and fresh. Thanks so much for taking the initiative to prepare my meal to the high quality McDonald's is known to deliver.",3 stars,3,Neutral,Negative,neutral,stopped in here on january th and ordered at the counter a signature classic grilled signature sriacha chicken sandwich with an artisan bun paid for my order and waited when my order was ready it was handed to me in a bagi asked for ketchup and proceeded to a table to enjoy my meal first off tge fries were crispy which i prefer but they were old and not at all indicative of the worlds best fries i took out my sandwich took bite and noticed sesame seeds in the box i checked my receipt to confirm that my sandwich should gave had the artisan bun proceeded to the counter to correct the problem with my order to be told tgey were out of artisan buns i was pissed and walked off i finished my meal went to refill my drink and spoke with a man in yellow shirt and tie behind the counter about how terrible that the one woman knew there were no artisan buns but the order taker at the register knew nothing about it as well as the girl who gave me my food someone should have confirmed that the sesame seed bun would meet my approval and i notified him this kind of service was not indicative pf mcdonalds and that i would be callong corporate the following day i contacted mcdonalds corporate who passed on my complaint to the restaurant location i received a call from rose who apologized for the problem with the order and asked that i come back and give them the opportunity to make tge meal properly per my request i stopped in on friday january th and emma made sure that the meal was prepared to the standards i believe mcdonalds is known the sandwich was flavorful with the artisan roll and the fries were hot and fresh thanks so much for taking the initiative to prepare my meal to the high quality mcdonalds is known to deliver,stop in here on januari th and order at the counter a signatur classic grill signatur sriacha chicken sandwich with an artisan bun paid for my order and wait when my order wa readi it wa hand to me in a bagi ask for ketchup and proceed to a tabl to enjoy my meal first off tge fri were crispi which i prefer but they were old and not at all indic of the world best fri i took out my sandwich took bite and notic sesam seed in the box i check my receipt to confirm that my sandwich should gave had the artisan bun proceed to the counter to correct the problem with my order to be told tgey were out of artisan bun i wa piss and walk off i finish my meal went to refil my drink and spoke with a man in yellow shirt and tie behind the counter about how terribl that the one woman knew there were no artisan bun but the order taker at the regist knew noth about it as well as the girl who gave me my food someon should have confirm that the sesam seed bun would meet my approv and i notifi him thi kind of servic wa not indic pf mcdonald and that i would be callong corpor the follow day i contact mcdonald corpor who pass on my complaint to the restaur locat i receiv a call from rose who apolog for the problem with the order and ask that i come back and give them the opportun to make tge meal properli per my request i stop in on friday januari th and emma made sure that the meal wa prepar to the standard i believ mcdonald is known the sandwich wa flavor with the artisan roll and the fri were hot and fresh thank so much for take the initi to prepar my meal to the high qualiti mcdonald is known to deliv
25314,McDonald's,Fast food restaurant,"632 S R L Thornton Freeway Service Rd, Dallas, TX 75203, United States",32.7445961,-96.8122859,"2,657",4 months ago,Really enjoyed my breakfast ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ this morning ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½! Hot and fresh!! Not a long line at all. They were getting the orders in and out! I really appreciated the young lady at the counter. She made me a,4 stars,4,Positive,Positive,joy,really enjoyed my breakfast this morning hot and fresh not a long line at all they were getting the orders in and out i really appreciated the young lady at the counter she made me a,realli enjoy my breakfast thi morn hot and fresh not a long line at all they were get the order in and out i realli appreci the young ladi at the counter she made me a
7730,McDonald's,Fast food restaurant,"550 Lawrence Expy, Sunnyvale, CA 94086, United States",37.3854949,-121.9954211,"1,562",2 years ago,Neutral,3 stars,3,Neutral,Negative,disgust,neutral,neutral
28390,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,567",4 years ago,Terrible..An Employee name Andrea has the worse Customer service ever. My order was wrong and they still was giving me a hard time to fix it..BAD SERVICE,1 star,1,Negative,Negative,disgust,terriblean employee name andrea has the worse customer service ever my order was wrong and they still was giving me a hard time to fix itbad service,terriblean employe name andrea ha the wors custom servic ever my order wa wrong and they still wa give me a hard time to fix itbad servic
